id,symbol,current_price,price_change_percentage_24h,market_cap,timestamp
bitcoin,btc,95083.0,-5.67454,1882038481530,2025-01-08 19:45:09.592374
ethereum,eth,3349.96,-7.72284,403292126679,2025-01-08 19:45:09.592374
tether,usdt,1.0,0.05603,137484474955,2025-01-08 19:45:09.592374
ripple,xrp,2.34,-3.41352,134529609744,2025-01-08 19:45:09.592374
binancecoin,bnb,696.93,-3.79912,101638054712,2025-01-08 19:45:09.592374
solana,sol,195.65,-8.19191,94537597474,2025-01-08 19:45:09.592374
dogecoin,doge,0.344854,-10.53061,50863341083,2025-01-08 19:45:09.592374
usd-coin,usdc,1.0,0.04359,45439623706,2025-01-08 19:45:09.592374
cardano,ada,0.989409,-12.6359,35463530037,2025-01-08 19:45:09.592374
staked-ether,steth,3346.12,-7.82167,32265722256,2025-01-08 19:45:09.592374
